heightwholenum,framemat,framefunc,widthWholeNum,lift,itemset,locationtype,leadmechanic,TotalInstallationTime,LongCarry
18,wood,WINDOW,12,37,putty,1,228,30,NULL
28,,UPPER SH,27,216,SNAP BEADS,1,11,50,NULL
92,ALUMINUM,FLUSH GLAZE,63,120,flush glaze,2,6,125,NULL
33,VINYL,BOTTOM SASH,31,9,SNAP BEADS,9,62,40,NULL
47,VINYL,FIXED,48,34,SNAP BEADS,1,211,45,NULL
44,SLUMINUM,SLIDER,27,40,Wrap Around Rubber,2,137,30,NULL
16,ANDERSEN,,30,78,WOOD BEADS,1,228,40,NULL
0,,,0,24,SNAP BEADS,2,6,100,NULL
87,,,42,23,SCREW BEADS,2,90,95,NULL
76,ALUMINUM,CURTAINWALL,42,7,PRESSURE PLATE,2,228,25,NULL
59,STEEL,,62,34,SCREW BEADS,0,6,45,NULL
30,wood,TOP DH,21,30,WOOD BEADS,1,11,40,NULL
53,alum,FIXED,42,25,SCREW BEADS,9,11,70,NULL
24,VINYL,BOTTOM SASH,30,32,SNAP BEADS,9,62,30,NULL
22,,SIDELITE,25,13,SCREW BEADS,9,118,35,NULL
74,,FINTUBE,61,35,SCREW BEADS,2,90,125,NULL
18,STEEL,FIXED,40,40,Putty,13,118,60,NULL
48,alum,FIXED,56,32,SNAP BEADS,2,62,25,NULL
80,,SNAP SASH,67,4,,2,90,70,NULL
42,wood,FIXED,46,42,putty,1,228,40,NULL
48,VINYL,FIXED,42,25,VINYL BEADS,1,228,75,NULL
50,STEEL,,40,34,SCREW BEADS,9,228,30,NULL
83,ALUMINUM,SIDELITE,25,2,SNAP BEADS,9,62,35,NULL
34,VINYL,TOP SH,33,57,SNAP BEADS,1,62,45,NULL
33,,BOTTOM SH,27,28,VINYL BEADS,9,11,20,NULL
63,,,27,108,SCREW BEADS,5,211,120,NULL
60,ALUMINUM,FLUSH GLAZE,20,16,flush glaze,2,6,60,NULL
16,alum,,52,120,putty,2,132,70,NULL
61,ALUMINUM,FLUSH GLAZE,79,26,flush glaze,2,132,35,NULL
38,VINYL,SLIDER,13,44,SNAP BEADS,9,228,35,NULL
55,ALUMINUM,FLUSH GLAZE,37,28,flush glaze,2,90,30,NULL
19,VINYL,FIXED,20,53,SNAP BEADS,9,118,65,NULL
29,alum,FIXED,31,53,SNAP BEADS,5,90,25,NULL
18,VINYL,AWNING SASH,41,13,SNAP BEADS,9,11,50,1
61,,SEAMLESS MULLION,60,32,SNAP BEADS,2,6,115,NULL
28,ALUMINUM,BOTTOM SASH,19,24,WRAP AROUND FRAME,6,62,65,NULL
27,ALUMINUM,BOTTOM SASH,30,24,Wrap Around Rubber,6,62,25,NULL
48,,FIXED,32,40,WRAP AROUND FRAME,9,6,75,NULL
16,VINYL,BOTTOM SASH,26,50,SNAP BEADS,1,228,25,NULL
