heightwholenum,framemat,framefunc,widthWholeNum,lift,itemset,locationtype,leadmechanic,TotalInstallationTime,LongCarry
31,VINYL,FIXED,25,50,VINYL BEADS,9,228,40,NULL
34,ALUMINUM,FLUSH GLAZE,61,10,,12,90,30,NULL
37,,,13,240,PUTTY,2,118,45,NULL
23,,FIXED,56,108,PUSH RUBBER,2,90,205,NULL
43,,FIXED,27,40,VINYL BEADS,9,62,50,NULL
43,,FIXED,27,32,VINYL BEADS,10,228,30,NULL
52,,FIXED,47,39,SNAP BEADS,9,62,60,NULL
27,,,19,60,VINYL BEADS,1,6,30,NULL
33,,BOTTOM SH,25,9,SNAP BEADS,9,62,40,NULL
66,,,54,32,,6,211,140,1
54,,FIXED,21,25,VINYL BEADS,9,6,35,NULL
48,WOOD,FIXED,72,40,PUTTY,1,211,265,NULL
33,,,32,28,VINYL BEADS,9,118,30,NULL
39,,FIXED,37,54,VINYL BEADS,9,211,50,NULL
94,,,39,24,,2,6,75,NULL
48,,SLIDER,21,24,VINYL BEADS,9,118,70,NULL
68,ALUMINUM,FLUSH GLAZE,68,44,,0,6,30,NULL
81,STEEL,,25,2,SNAP BEADS,6,62,75,NULL
25,,,11,72,WOOD BEADS,1,118,75,NULL
45,ALUMINUM,FLUSH GLAZE,46,48,,2,118,65,NULL
27,,TOP SH,32,66,VINYL BEADS,9,118,65,NULL
22,,TOP SH,21,216,VINYL BEADS,1,228,25,NULL
82,WOOD,SIDELITE,9,2,WOOD BEADS,9,62,20,NULL
90,,,45,30,SCREW BEADS,2,118,80,NULL
32,VINYL,FIXED,27,48,VINYL BEADS,9,62,30,NULL
26,VINYL,FIXED,43,6,SNAP BEADS,11,118,60,NULL
51,,FIXED,61,36,WRAP AROUND RUBBER,1,62,75,NULL
55,,,23,30,,2,6,65,NULL
73,ALUMINUM,,44,25,SNAP BEADS,2,90,45,NULL
102,,SNAP SASH,51,18,,2,90,65,NULL
43,,,43,36,,2,211,75,NULL
77,,,53,78,,9,211,45,NULL
65,,FIXED,82,78,,2,90,95,NULL
29,,,32,30,WRAP AROUND RUBBER,9,11,35,NULL
24,,BOTTOM DH,23,30,VINYL BEADS,9,62,50,NULL
77,ALUMINUM,FLUSH GLAZE,58,31,PUSH RUBBER,2,6,25,NULL
55,,SLIDER,17,30,WRAP AROUND RUBBER,2,118,20,NULL
76,ALUMINUM,FLUSH GLAZE,66,30,PUSH RUBBER,2,228,50,NULL
29,,TOP SH,25,60,VINYL BEADS,9,211,20,NULL
24,,TOP SH,37,30,VINYL BEADS,9,6,35,NULL
30,WOOD,FIXED,52,108,PUTTY,1,228,60,NULL
28,VINYL,FIXED,20,48,VINYL BEADS,9,118,40,NULL
29,,FIXED,14,60,VINYL BEADS,2,118,35,NULL
46,,,42,34,VINYL BEADS,9,62,15,NULL
56,ALUMINUM,FLUSH GLAZE,20,34,,9,211,15,NULL
15,,TOP DH,28,30,WRAP AROUND FRAME,9,62,45,NULL
57,SASH RAIL,,103,40,,2,6,70,NULL
81,ALUMINUM,FIXED,35,4,SNAP BEADS,12,6,70,NULL
29,VINYL,FIXED,32,50,SNAP BEADS,9,11,30,NULL
29,VINYL,FIXED,32,50,SNAP BEADS,9,11,45,NULL
12,Wood,Transom,61,84,Wood Beads,1,67,75,NULL
54,VINYL,FIXED,41,27,SNAP BEADS,1,67,75,NULL
51,,,46,28,SCREW BEADS,5,6,40,NULL
28,,BOTTOM SH,27,38,WRAP AROUND RUBBER,5,211,30,NULL
87,ALUMINUM,CURTAINWALL,58,12,PRESSURE PLATE,2,6,50,NULL
55,Aluminum,SLIDER,23,21,Wrap Around Rubber,1,211,25,NULL
33,ALUMINUM,,50,98,SNAP BEADS,2,6,30,NULL
41,VINYL,FIXED,46,36,VINYL BEADS,9,6,35,NULL
69,ALUMINUM,CURTAINWALL,55,24,PRESSURE PLATE,9,6,60,NULL
39,,SIDELITE,25,40,,9,90,15,NULL
70,ALUMINUM,CURTAINWALL,40,54,Pressure Plate,2,62,60,NULL
44,ALUMINUM,FIXED,28,18,SNAP BEADS,6,118,45,NULL
72,,Flush Glaze,70,24,,2,6,40,NULL
43,Vinyl,Slider,14,36,Snap Beads,9,11,30,NULL
34,,FIXED,21,40,VINYL BEADS,9,228,30,NULL
67,ALUMINUM,SIDELITE,32,16,SCREW BEADS,12,74,35,NULL
32,ALUMINUM,CURTAINWALL,35,13,PRESSURE PLATE,4,118,95,NULL
36,ANDERSEN,CASEMENT SASH,24,180,SNAP BEADS,1,228,70,NULL
33,Vinyl,Bottom of DH,30,156,Snap Beads,1,228,70,NULL
50,ALUMINUM,FIXED,46,36,SNAP BEADS,2,118,50,NULL
91,ALUMINUM,CURTAIN WALL,71,120,,5,228,80,NULL
57,ALUMINUM,FLUSH GLAZE,20,34,,9,6,15,NULL
19,VINYL,FIXED,33,52,SNAP BEADS,9,11,65,NULL
60,,SLIDER,20,29,WRAP AROUND RUBBER,1,90,40,NULL
37,ALUMINUM,FIXED,15,44,VINYL BEADS,5,118,15,NULL
18,,,30,84,SNAP BEADS,12,11,90,NULL
39,Clear Alum,Fixed,14,4,Aluminum Beads,12,228,200,NULL
67,ALUMINUM,FLUSH GLAZE,54,42,PUSH RUBBER,2,6,30,NULL
20,,BOTTOM SH,20,46,SNAP BEADS,1,118,25,NULL
49,,FIXED,21,36,VINYL BEADS,12,118,40,NULL
27,,,30,60,VINYL BEADS,9,118,35,NULL
22,,SIDELITE,25,12,SCREW BEADS,9,6,30,NULL
39,,,32,60,WRAP AROUND RUBBER,9,211,25,NULL
33,,,32,60,VINYL BEADS,9,118,55,NULL
52,ALUMINUM,FLUSH GLAZE,37,48,,2,211,20,NULL
33,,,32,53,SNAP BEADS,9,62,30,NULL
65,Aluminum,Stat Window,49,37,Putty,5,6,135,NULL
35,,,33,60,WRAP AROUND FRAME,9,118,50,NULL
12,VINYL,AWNING SASH,36,18,SNAP BEADS,2,11,55,NULL
16,VINYL,FIXED,24,72,VINYL BEADS,1,6,40,NULL
31,ALUMINUM,FLUSH GLAZE,52,84,,2,90,35,NULL
51,ALUMINUM,CURTAINWALL,56,36,PRESSURE PLATE,12,90,105,NULL
65,,Flush Glaze,56,24,,10,6,25,NULL
45,,SLIDER,32,40,WRAP AROUND FRAME,0,118,25,NULL
22,Vinyl,,30,36,Snap Beads,9,62,25,NULL
19,,,51,40,WRAP AROUND FRAME,9,62,85,NULL
90,ALUMINUM,FLUSH GLAZE,62,8,,10,211,30,NULL
18,STEEL SASH,,24,58,,2,62,35,NULL
25,,,40,58,VINYL BEADS,9,228,50,NULL
54,ALUMINUM,CURTAINWALL,54,32,PRESSURE PLATE,2,90,100,NULL
32,,BOTTOM DH,32,180,PUTTY,1,62,85,NULL
77,,,142,24,,2,6,145,NULL
44,,,47,39,,2,6,35,NULL
37,Metal,451,42,60,,2,62,60,NULL
44,,SLIDER,22,34,WRAP AROUND RUBBER,1,11,30,NULL
53,VINYL,FIXED,14,28,VINYL BEADS,9,269,15,NULL
45,ALUMINUM,FLUSH GLAZE,37,36,PUSH RUBBER,6,62,65,NULL
76,,,70,33,SCREW BEADS,5,6,60,NULL
86,,,37,96,,5,6,140,NULL
48,ALUMINUM,,38,36,SNAP BEADS,2,211,45,NULL
25,,,40,34,WRAP AROUND RUBBER,2,228,25,NULL
36,ALUMINUM,FIXED,27,34,WRAP AROUND RUBBER,9,228,60,NULL
37,,FIXED,32,42,SNAP BEADS,9,62,35,NULL
67,ALUMINUM,CURTAINWALL,50,144,PRESSURE PLATE,2,211,110,NULL
30,,,31,24,VINYL BEADS,9,62,10,NULL
30,,,29,50,WRAP AROUND FRAME,1,228,45,NULL
68,,,62,54,WOOD BEADS,1,6,35,1
29,VINYL,FIXED,21,36,SNAP BEADS,9,11,60,NULL
41,ALUMINUM,FIXED,24,34,WRAP AROUND RUBBER,5,269,55,NULL
44,ALUMINUM,FIXED,46,40,SNAP BEADS,2,118,210,NULL
57,ALUMINUM,SIDELITE,37,32,SNAP BEADS,9,118,20,NULL
23,,BOTTOM SH,26,30,WRAP AROUND FRAME,9,6,35,NULL
60,Vinyl,Stat Window,47,12,Wrap Around Frame,1,6,60,NULL
9,WOOD,FIXED,26,144,WOOD BEADS,5,228,55,NULL
43,,,25,41,SNAP BEADS,9,11,55,NULL
22,,,35,88,SNAP BEADS,2,118,25,NULL
50,VINYL,FIXED,21,24,VINYL BEADS,9,228,20,NULL
35,,,23,47,SNAP BEADS,1,11,35,NULL
56,,FIXED,41,38,,9,118,65,NULL
27,,,25,66,VINYL BEADS,9,11,30,NULL
68,ALUMINUM,FLUSH GLAZE,69,36,,2,211,25,NULL
49,VINYL,FIXED,14,30,VINYL BEADS,9,11,35,NULL
33,,,27,64,SNAP BEADS,9,11,30,NULL
15,VINYL,FIXED,19,21,VINYL BEADS,9,62,30,NULL
56,ALUMINUM,FIXED,18,30,SCREW BEADS,6,74,135,NULL
39,VINYL,,26,37,SNAP BEADS,9,11,50,NULL
41,VINYL,SLIDER,14,32,SNAP BEADS,9,62,40,NULL
43,VINYL,SLIDER,20,37,SNAP BEADS,9,11,30,NULL
49,VINYL,FIXED,14,30,VINYL BEADS,9,11,30,NULL
99,ALUMINUM,,50,60,SNAP BEADS,6,6,85,NULL
76,ALUMINUM,FLUSH GLAZE,51,16,,2,118,50,NULL
20,,SLIDER,17,84,WRAP AROUND RUBBER,1,211,25,NULL
0,ANDERSEN,,0,120,NO BEADS,1,228,60,NULL
28,,SASH RAIL,46,144,,4,11,105,NULL
47,VINYL,FIXED,43,30,,0,118,30,NULL
73,,,43,17,SCREW BEADS,2,6,45,NULL
12,ALUMINUM,FLUSH GLAZE,84,96,,9,6,30,NULL
41,,FIXED,52,38,SNAP BEADS,9,228,95,NULL
40,VINYL,FIXED,31,39,SNAP BEADS,9,11,50,NULL
17,STEEL,,41,120,PUTTY,5,211,55,NULL
45,,SLIDER,32,34,WRAP AROUND FRAME,9,118,20,NULL
62,,FIXED,38,37,SNAP BEADS,9,228,70,NULL
79,,,42,42,SCREW BEADS,2,118,50,NULL
18,WOOD,FIXED,34,70,,2,118,40,NULL
105,ALUMINUM,FLUSH GLAZE,45,120,,2,90,70,NULL
83,WOOD,FIXED,71,8,WOOD BEADS,1,211,115,NULL
53,ALUMINUM,FLUSH GLAZE,96,39,,2,228,40,NULL
83,ALUMINUM,,56,12,SNAP BEADS,2,6,60,NULL
68,ALUMINUM,,20,7,SNAP BEADS,2,62,45,NULL
42,ALUMINUM,FLUSH GLAZE,31,48,,2,11,60,NULL
70,ALUMINUM,FLUSH GLAZE,29,7,,2,118,25,NULL
42,VINYL,FIXED,20,37,SNAP BEADS,9,62,65,NULL
15,ALUMINUM,FLUSH GLAZE,33,88,,0,228,25,NULL
59,,FIXED,33,24,WRAP AROUND FRAME,10,62,35,NULL
57,,,36,45,WRAP AROUND FRAME,6,6,65,NULL
31,,,25,60,WRAP AROUND FRAME,1,6,55,NULL
40,WOOD,SIDELITE,23,2,,9,228,25,NULL
48,ALUMINUM,SLIDER,32,36,,9,228,30,NULL
0,ANDERSEN,BOTTOM SH,0,51,,1,211,35,NULL
57,ALUMINUM,FLUSH GLAZE,20,28,,9,228,25,NULL
65,ALUMINUM,FLUSH GLAZE,41,37,,4,6,95,NULL
28,STEEL SASH,,20,30,PUTTY,6,211,65,NULL
26,,,38,46,WRAP AROUND RUBBER,9,90,65,NULL
32,VINYL,BOTTOM SASH,29,12,SNAP BEADS,1,11,30,NULL
60,ALUMINUM,,48,13,,2,6,30,NULL
66,ALUMINUM,,56,34,SNAP BEADS,2,6,35,NULL
44,,Stat Window,44,48,Snap Beads,1,211,55,NULL
31,ALUMINUM,FLUSH GLAZE,35,35,PUSH RUBBER,2,211,15,NULL
73,ALUMINUM,FLUSH GLAZE,65,29,PUSH RUBBER,2,6,15,NULL
52,ALUMINUM,FLUSH GLAZE,21,32,,1,6,15,NULL
29,ALUMINUM,FLUSH GLAZE,11,8,,9,228,10,NULL
14,STEEL SASH,,20,48,PUTTY,2,62,40,NULL
31,,SLIDER,21,40,VINYL BEADS,9,62,25,NULL
31,,SLIDER,15,40,VINYL BEADS,9,62,20,NULL
62,,,59,32,SCREW BEADS,2,228,55,NULL
79,ALUMINUM,SIDELITE,34,43,SNAP BEADS,2,11,50,NULL
30,,,34,87,WOOD BEADS,1,228,25,NULL
48,,SLIDER,32,36,WRAP AROUND RUBBER,9,11,65,NULL
18,,,14,60,PUTTY,1,118,30,NULL
41,VINYL,FIXED,32,38,VINYL BEADS,9,228,40,NULL
22,,,30,60,VINYL BEADS,9,6,20,NULL
52,,FIXED,21,96,VINYL BEADS,9,211,35,NULL
85,,,30,5,SNAP BEADS,5,90,40,NULL
54,ALUMINUM,FIXED,20,29,SNAP BEADS,9,11,35,NULL
66,ALUMINUM,FIXED,31,43,SNAP BEADS,9,228,70,NULL
60,,,36,22,PUTTY,5,62,65,NULL
23,,TOP SH,23,30,VINYL BEADS,9,228,30,NULL
67,ALUMINUM,FLUSH GLAZE,45,28,,2,62,30,NULL
27,ALUMINUM,CURTAINWALL,39,4,PRESSURE PLATE,5,11,10,NULL
27,,,24,30,VINYL BEADS,9,118,20,NULL
23,,BOTTOM SH,25,30,VINYL BEADS,9,118,40,NULL
44,VINYL,WINDOW,32,144,SNAP BEADS,1,118,90,NULL
21,ALUMINUM,CURTAINWALL,49,28,PRESSURE PLATE,12,6,90,NULL
69,,FIXED,35,24,SNAP BEADS,10,228,65,NULL
52,ALUMINUM,FLUSH GLAZE,31,27,PUSH RUBBER,2,11,50,NULL
11,ALUMINUM,FIXED,26,82,SNAP BEADS,9,62,60,NULL
82,ALUMINUM,FLUSH GLAZE,24,10,,9,211,10,NULL
28,VINYL,FIXED,13,70,VINYL BEADS,9,62,30,NULL
27,,,27,60,VINYL BEADS,9,137,15,NULL
90,,,47,21,SCREW BEADS,2,211,55,NULL
49,ALUMINUM,FLUSH GLAZE,30,30,,2,211,15,NULL
80,ALUMINUM,FLUSH GLAZE,104,34,PUSH RUBBER,2,211,20,NULL
32,,,30,64,PUTTY,1,6,35,NULL
18,WOOD,FIXED,20,24,WOOD BEADS,1,62,40,NULL
44,,,50,36,,1,6,60,NULL
22,,SLIDER,24,60,WRAP AROUND FRAME,9,90,110,NULL
57,ALUMINUM,FIXED,67,36,SNAP BEADS,5,90,100,NULL
42,,FIXED,33,40,VINYL BEADS,9,118,40,NULL
86,,,81,20,WOOD BEADS,1,211,15,NULL
54,ALUMINUM,FIXED,15,24,WRAP AROUND RUBBER,9,211,30,NULL
48,,SLIDER,32,36,WRAP AROUND RUBBER,9,6,50,NULL
46,,,41,28,VINYL BEADS,9,62,45,NULL
47,,,43,28,VINYL BEADS,9,62,50,NULL
89,,,93,22,,2,6,60,NULL
82,,BOTTOM SH,47,22,,2,6,50,NULL
19,,,39,40,WRAP AROUND FRAME,9,90,30,NULL
50,WOOD,FIXED,87,31,WOOD BEADS,2,211,45,NULL
41,VINYL,FIXED,26,44,SNAP BEADS,9,62,40,NULL
17,,,30,93,WOOD BEADS,1,11,50,NULL
41,,,19,37,SNAP BEADS,1,6,65,NULL
51,,,65,30,SCREW BEADS,2,228,60,NULL
44,,,50,37,,1,6,130,NULL
10,,,41,9,,1,6,55,NULL
83,ALUMINUM,FIXED,32,10,SNAP BEADS,1,6,60,NULL
48,ALUMINUM,Flush Glaze,26,32,SNAP BEADS,9,6,40,NULL
21,,,30,64,SNAP BEADS,1,11,35,NULL
66,ALUMINUM,,56,34,SNAP BEADS,2,211,20,NULL
75,ALUMINUM,FLUSH GLAZE,29,24,,2,6,30,NULL
76,WOOD,FIXED,34,4,,1,228,80,NULL
21,,BOTTOM SH,30,34,WRAP AROUND FRAME,1,90,25,NULL
21,,SLIDER,20,60,WRAP AROUND FRAME,9,62,90,NULL
10,,,34,84,PUTTY,1,118,50,NULL
64,ALUMINUM,FLUSH GLAZE,25,34,,9,6,15,NULL
50,WOOD,FIXED,19,26,,2,228,70,NULL
49,,FIXED,33,40,WRAP AROUND FRAME,1,90,75,NULL
21,,,34,48,VINYL BEADS,2,6,30,NULL
27,,,32,53,SNAP BEADS,0,90,55,NULL
30,,,29,48,SNAP BEADS,11,62,65,NULL
70,ALUMINUM,FLUSH GLAZE,29,7,,2,62,30,NULL
33,,,31,61,SNAP BEADS,9,11,80,NULL
59,ALUMINUM,,62,32,SNAP BEADS,5,90,60,NULL
17,,,51,60,,12,90,85,NULL
99,ALUMINUM,,45,24,SNAP BEADS,2,90,65,NULL
22,,,33,40,WRAP AROUND FRAME,9,118,15,NULL
62,,FIXED,20,20,VINYL BEADS,9,90,40,NULL
27,,,31,32,VINYL BEADS,9,90,70,NULL
16,,,36,84,PUTTY,1,228,35,NULL
90,,,71,23,,2,211,140,NULL
94,,,72,24,,2,228,155,NULL
54,Vinyl,FIXED,22,38,VINYL BEADS,9,228,145,NULL
54,VINYL,FIXED,26,26,,9,118,40,NULL
57,ALUMINUM,FLUSH GLAZE,33,30,,9,211,20,NULL
55,ALUMINUM,FIXED,46,38,VINYL BEADS,2,118,40,NULL
27,,BOTTOM SH,33,25,VINYL BEADS,1,11,30,NULL
103,SASH RAIL,SIDELITE,83,27,,2,6,50,NULL
108,ALUMINUM,FLUSH GLAZE,48,8,PUSH RUBBER,9,211,30,NULL
74,ALUMINUM,FLUSH GLAZE,37,180,PUSH RUBBER,2,90,40,NULL
59,,FINTUBE,68,18,SCREW BEADS,2,118,65,NULL
46,,,19,43,SNAP BEADS,2,11,40,NULL
69,,SEAMLESS MULLION,58,17,SNAP BEADS,2,90,70,NULL
33,,,32,60,VINYL BEADS,9,90,40,NULL
36,,BOTTOM SH,29,7,VINYL BEADS,1,228,55,NULL
31,,BOTTOM SH,24,26,VINYL BEADS,9,228,65,NULL
25,WOOD,BOTTOM HALF,71,10,,9,11,80,NULL
13,VINYL,FIXED,66,10,VINYL BEADS,9,11,70,NULL
18,,,22,35,,9,132,30,NULL
31,,FIXED,39,32,,2,62,30,NULL
41,,,19,37,SNAP BEADS,1,6,60,NULL
99,,SNAP SASH,73,18,,2,6,40,NULL
82,ALUMINUM,FLUSH GLAZE,23,8,,9,211,10,NULL
24,ALUMINUM,FIXED,39,90,SNAP BEADS,5,118,35,NULL
10,,FIXED,21,9,SNAP BEADS,1,6,60,NULL
74,,SASH RAIL,92,16,,2,90,65,NULL
22,,BOTTOM SH,27,36,SNAP BEADS,9,11,30,NULL
54,,SLIDER,36,23,WRAP AROUND RUBBER,1,211,45,NULL
59,ALUMINUM,FIXED,44,35,SNAP BEADS,2,90,75,NULL
42,,Fixed,33,40,VINYL BEADS,2,228,40,NULL
41,,SLIDER,26,40,VINYL BEADS,9,211,30,NULL
100,WOOD,TRANSOM,38,108,WOOD BEADS,9,228,90,NULL
44,,,38,53,SNAP BEADS,2,62,45,NULL
52,,,59,36,WOOD BEADS,2,228,105,NULL
18,WOOD,FIXED,26,2,WOOD BEADS,9,132,70,NULL
41,VINYL,FIXED,20,34,SNAP BEADS,9,11,50,NULL
41,VINYL,FIXED,20,34,SNAP BEADS,9,11,35,NULL
30,ALUMINUM,CURTAINWALL,42,4,PRESSURE PLATE,2,11,100,NULL
100,WOOD,TRANSOM,38,108,WOOD BEADS,9,228,95,NULL
27,VINYL,BOTTOM SH,31,30,VINYL BEADS,9,211,30,NULL
19,,TOP DH,21,30,WRAP AROUND FRAME,9,211,30,NULL
29,WOOD,FIXED,73,67,WOOD BEADS,9,211,135,NULL
15,VINYL,FIXED,15,96,SNAP BEADS,1,211,50,NULL
78,,SASH RAIL,39,15,,5,62,120,NULL
59,VINYL,PICTURE WINDOW,59,30,WRAP AROUND FRAME,1,211,45,NULL
22,,TOP DH,20,42,WRAP AROUND FRAME,1,90,30,NULL
28,ALUMINUM,SLIDER,29,50,WRAP AROUND RUBBER,9,90,20,NULL
17,,LUG SASH,70,7,,0,62,40,NULL
48,ALUMIUM,SLIDER,24,36,WRAP AROUND RUBBER,9,211,35,NULL
23,VINYL,FIXED,23,12,SNAP BEADS,5,228,35,NULL
51,STEEL,,46,28,SCREW BEADS,13,211,50,NULL
13,,GARAGE DOOR,21,48,,1,118,20,NULL
70,WOOD,,59,34,WOOD BEADS,2,6,70,NULL
35,,,35,34,SCREW BEADS,5,62,45,NULL
16,,FIXED,16,60,VINYL BEADS,9,6,60,NULL
85,ALUMINUM,FIXED,47,32,SNAP BEADS,2,211,20,NULL
41,VINYL,FIXED,20,36,SNAP BEADS,9,62,50,NULL
76,ALUMINUM,FIXED,46,6,WRAP AROUND RUBBER,1,6,145,NULL
45,,FIXED,32,36,VINYL BEADS,9,228,15,NULL
22,,TOP DH,29,60,VINYL BEADS,9,228,30,NULL
24,,,38,57,SNAP BEADS,9,228,20,NULL
24,,BOTTOM SH,36,28,SNAP BEADS,9,228,5,NULL
63,ALUMINUM,FLUSH GLAZE,48,24,PUSH RUBBER,2,90,35,NULL
45,STEEL,SIDELITE,13,34,SCREW BEADS,2,118,55,NULL
44,ALUMINUM,FIXED,37,50,,4,211,35,NULL
51,ALUMINUM,,50,36,SNAP BEADS,5,6,15,NULL
41,VINYL,FIXED,43,38,VINYL BEADS,9,228,30,NULL
33,,,31,44,WRAP AROUND FRAME,9,62,45,NULL
38,VINYL,SLIDER,19,42,SNAP BEADS,12,11,45,NULL
57,VINYL,FIXED,29,39,SNAP BEADS,5,228,40,NULL
22,,,30,96,,5,211,40,NULL
36,WOOD,FIXED,94,38,WOOD BEADS,1,211,125,NULL
79,ALUMINUM,FIXED,22,23,SNAP BEADS,2,90,80,NULL
28,,,33,36,SNAP BEADS,5,90,35,NULL
36,,,25,48,WRAP AROUND RUBBER,9,62,60,NULL
25,,BOTTOM SH,32,42,WRAP AROUND RUBBER,12,11,65,NULL
92,ALUMINUM,,56,15,SNAP BEADS,0,90,40,NULL
20,ANDERSEN,,44,96,,9,11,110,NULL
43,ALUMINUM,FIXED,27,37,VINYL BEADS,9,118,70,NULL
26,ALUMINUM,,34,2,SNAP BEADS,5,62,30,NULL
46,VINYL,SLIDER,33,32,SNAP BEADS,9,228,20,NULL
43,ALUMINUM,FIXED,27,36,WRAP AROUND RUBBER,9,62,50,NULL
52,VINYL,SLIDER,20,25,SNAP BEADS,9,137,45,NULL
79,ALUMINUM,FIXED,49,39,SNAP BEADS,2,62,165,NULL
29,,,30,72,VINYL BEADS,1,137,40,NULL
33,VINYL,FIXED,39,39,SNAP BEADS,9,228,40,NULL
83,ALUMINUM,FIXED,44,20,SNAP BEADS,2,90,100,NULL
32,,,35,60,SNAP BEADS,11,6,30,NULL
54,PELLA,,24,37,,2,6,70,NULL
55,,FIXED,47,38,SNAP BEADS,6,6,100,NULL
102,ALUMINUM,FIXED,54,5,SNAP BEADS,2,6,180,NULL
118,,,60,74,,2,6,90,NULL
83,,,37,30,WOOD BEADS,2,211,90,NULL
49,,,20,24,SCREW BEADS,5,228,70,NULL
54,ALUMINUM,FIXED,49,46,SNAP BEADS,2,90,135,NULL
88,ALUMINUM,,40,26,SNAP BEADS,0,6,50,NULL
40,,BOTTOM SH,40,38,SNAP BEADS,9,62,130,1
120,SASH RAIL,,70,20,,2,90,180,NULL
24,WOOD,FIXED,24,156,WOOD BEADS,1,6,125,NULL
44,VINYL,FIXED,47,38,SNAP BEADS,1,228,40,NULL
82,ALUMINUM,FLUSH GLAZE,18,6,,0,228,15,NULL
109,,LUG SASH,69,10,,7,6,65,NULL
16,,FIXED,16,72,VINYL BEADS,9,6,30,NULL
43,,FIXED,27,28,VINYL BEADS,2,211,30,NULL
40,VINYL,SLIDER,20,36,SNAP BEADS,9,228,55,NULL
17,,,29,40,VINYL BEADS,9,62,40,NULL
59,ALUMINUM,FLUSH GLAZE,25,34,,5,211,50,NULL
40,,FINTUBE SIDELITE,53,2,SCREW BEADS,2,228,20,NULL
44,ALUMINUM,FLUSH GLAZE,44,40,,2,6,50,NULL
60,ALUMINUM,FLUSH GLAZE,22,24,,2,6,30,NULL
33,,,32,58,VINYL BEADS,1,6,30,NULL
71,ALUMINUM,FLUSH GLAZE,41,34,,2,90,50,NULL
34,,,28,72,VINYL BEADS,2,118,85,NULL
45,,,31,38,SNAP BEADS,6,228,125,NULL
46,,FIXED,30,36,VINYL BEADS,2,228,45,NULL
64,ALUMINUM,FIXED,57,38,SNAP BEADS,2,228,120,NULL
15,,BOTTOM SH,19,50,SNAP BEADS,1,6,20,NULL
47,,,43,30,VINYL BEADS,9,211,35,NULL
39,,,38,35,WOOD BEADS,11,90,135,NULL
24,ALUMINUM,FIXED,43,83,SNAP BEADS,5,90,65,NULL
27,VINYL,FIXED,44,50,WRAP AROUND FRAME,1,62,45,NULL
33,,TOP SH,32,60,VINYL BEADS,1,211,25,NULL
48,ALUMINUM,FIXED,36,48,SNAP BEADS,1,211,120,NULL
10,ALUMINUM,FIXED,16,96,SNAP BEADS,9,228,90,NULL
36,VINYL,SLIDER,21,45,WRAP AROUND FRAME,9,228,15,NULL
36,VINYL,SLIDER,34,45,WRAP AROUND FRAME,9,228,15,NULL
22,,,16,26,PUTTY,2,118,115,NULL
67,,,33,33,,2,211,90,NULL
19,,,29,30,VINYL BEADS,9,228,10,NULL
26,,BOTTOM SH,31,36,VINYL BEADS,9,6,45,NULL
43,,FIXED,34,36,WRAP AROUND FRAME,0,6,45,NULL
26,,,31,63,VINYL BEADS,6,90,60,NULL
74,STEEL,FIXED,31,11,SNAP BEADS,2,118,50,NULL
33,ALUMINUM,CURTAINWALL,29,9,PRESSURE PLATE,2,228,40,NULL
54,ALUMINUM,CURTAIN WALL,44,36,,5,118,80,NULL
30,VINYL,BOTTOM SASH,35,14,SNAP BEADS,9,62,30,NULL
70,,,24,24,VINYL BEADS,2,118,60,NULL
56,ALUMINUM,FLUSH GLAZE,52,39,PUSH RUBBER,2,118,40,NULL
101,ALUMINUM,,26,20,SNAP BEADS,5,228,30,NULL
82,ALUMINUM,,60,36,SNAP BEADS,5,6,75,NULL
36,,FIXED,43,36,SNAP BEADS,6,6,90,NULL
73,,,62,17,SCREW BEADS,2,211,75,NULL
40,,,26,38,,12,228,140,NULL
24,,FIXED,24,60,,9,6,40,NULL
84,ALUMINUM,FLUSH GLAZE,33,24,,2,228,65,NULL
87,,LUG SASH,73,12,,2,228,70,NULL
47,,,71,32,,2,118,70,1
81,ALUMINUM,FLUSH GLAZE,68,18,,2,6,40,NULL
77,,,63,36,SCREW BEADS,2,90,55,NULL
19,ALUMINUM,FIXED,76,12,SNAP BEADS,9,228,60,NULL
0,,,0,18,,5,6,150,NULL
54,VINYL,FIXED,32,40,SNAP BEADS,9,90,95,NULL
30,,BOTTOM SH,31,40,SNAP BEADS,1,228,10,NULL
33,ALUMINUM,FIXED,46,2,SNAP BEADS,2,90,60,NULL
19,VINYL,FIXED,15,57,SNAP BEADS,9,228,5,NULL
30,,SLIDER,15,53,VINYL BEADS,9,6,45,NULL
11,VINYL,FIXED,13,72,SNAP BEADS,1,228,45,NULL
42,VINYL,SLIDER,15,36,,9,139,55,NULL
28,,Flush Glaze,45,36,,2,211,55,NULL
44,ALUMINUM,CURTAINWALL,58,120,PRESSURE PLATE,2,6,80,NULL
67,Aluminum,FIXED,55,24,VINYL BEADS,1,6,55,NULL
14,,,27,72,VINYL BEADS,0,6,25,NULL
72,,FIXED,31,32,VINYL BEADS,1,90,110,NULL
101,ALUMINUM,,68,6,SNAP BEADS,2,211,75,NULL
10,VINYL,FIXED,12,4,SNAP BEADS,2,90,50,NULL
96,SASH RAIL,,79,21,,2,6,80,NULL
129,ALUMINUM,FLUSH GLAZE,28,45,,2,90,75,NULL
65,ALUMINUM,FIXED,27,29,WRAP AROUND RUBBER,9,62,70,1
32,,HOPPER,43,43,,12,228,135,NULL
48,,,75,34,WOOD BEADS,1,228,135,NULL
